dgyear,dgno,testCode,testName,participating,totalUnacceptable,specimen,count
2025,01,T380A,-pH,1905,73,CU-25-01,12
2025,01,T380A,-pH,1905,73,CU-25-02,45
2025,01,T380A,-pH,1905,73,CU-25-03,16
2025,01,T380B,-Protein,1922,84,CU-25-01,14
2025,01,T380B,-Protein,1922,84,CU-25-02,3
2025,01,T380B,-Protein,1922,84,CU-25-03,67
2025,01,T380C,-Glucose,1909,55,CU-25-01,6
2025,01,T380C,-Glucose,1909,55,CU-25-02,9
2025,01,T380C,-Glucose,1909,55,CU-25-03,40
2025,01,T380D,-Ketone,1859,76,CU-25-01,1
2025,01,T380D,-Ketone,1859,76,CU-25-02,5
2025,01,T380D,-Ketone,1859,76,CU-25-03,70
2025,01,T380E,-Bilirubin,1857,15,CU-25-01,1
2025,01,T380E,-Bilirubin,1857,15,CU-25-02,8
2025,01,T380E,-Bilirubin,1857,15,CU-25-03,6
2025,01,T380F,-Blood,1906,38,CU-25-01,14
2025,01,T380F,-Blood,1906,38,CU-25-02,18
2025,01,T380F,-Blood,1906,38,CU-25-03,6
2025,01,T380G,-Urobilinogen,1859,24,CU-25-01,3
2025,01,T380G,-Urobilinogen,1859,24,CU-25-02,4
2025,01,T380G,-Urobilinogen,1859,24,CU-25-03,17
2025,01,T380H,-Nitrite,1831,20,CU-25-01,2
2025,01,T380H,-Nitrite,1831,20,CU-25-02,4
2025,01,T380H,-Nitrite,1831,20,CU-25-03,14
2025,01,T380I,-Leukocyte,1818,88,CU-25-01,9
2025,01,T380I,-Leukocyte,1818,88,CU-25-02,8
2025,01,T380I,-Leukocyte,1818,88,CU-25-03,71
2025,01,T380J,-Specific Gravity,1816,245,CU-25-01,184
2025,01,T380J,-Specific Gravity,1816,245,CU-25-02,30
2025,01,T380J,-Specific Gravity,1816,245,CU-25-03,31
2025,01,T390,Urine sediment,998,106,CUI-25-01,44
2025,01,T390,Urine sediment,998,106,CUI-25-02,32
2025,01,T390,Urine sediment,998,106,CUI-25-03,30
2025,01,T390,Urine sediment,998,106,CUI-25-04,30
