"회차년도","회차","검사코드","검사명","횟수","검체명","Unaccep","기관수","unaccep rate"
"2025","01","T380A","-pH","1","CU-25-01","12","1,905","0.63"
"2025","01","T380A","-pH","2","CU-25-02","45","1,905","2.36"
"2025","01","T380A","-pH","3","CU-25-03","16","1,905","0.84"
"2025","01","T380B","-Protein","1","CU-25-01","14","1,922","0.73"
"2025","01","T380B","-Protein","2","CU-25-02","3","1,922","0.16"
"2025","01","T380B","-Protein","3","CU-25-03","67","1,922","3.49"
"2025","01","T380C","-Glucose","1","CU-25-01","6","1,909","0.31"
"2025","01","T380C","-Glucose","2","CU-25-02","9","1,909","0.47"
"2025","01","T380C","-Glucose","3","CU-25-03","40","1,909","2.1"
"2025","01","T380D","-Ketone","1","CU-25-01","1","1,859","0.05"
"2025","01","T380D","-Ketone","2","CU-25-02","5","1,859","0.27"
"2025","01","T380D","-Ketone","3","CU-25-03","70","1,859","3.77"
"2025","01","T380E","-Bilirubin","1","CU-25-01","1","1,857","0.05"
"2025","01","T380E","-Bilirubin","2","CU-25-02","8","1,857","0.43"
"2025","01","T380E","-Bilirubin","3","CU-25-03","6","1,857","0.32"
"2025","01","T380F","-Blood","1","CU-25-01","14","1,906","0.73"
"2025","01","T380F","-Blood","2","CU-25-02","18","1,906","0.94"
"2025","01","T380F","-Blood","3","CU-25-03","6","1,906","0.31"
"2025","01","T380G","-Urobilinogen","1","CU-25-01","3","1,859","0.16"
"2025","01","T380G","-Urobilinogen","2","CU-25-02","4","1,859","0.22"
"2025","01","T380G","-Urobilinogen","3","CU-25-03","17","1,859","0.91"
"2025","01","T380H","-Nitrite","1","CU-25-01","2","1,831","0.11"
"2025","01","T380H","-Nitrite","2","CU-25-02","4","1,831","0.22"
"2025","01","T380H","-Nitrite","3","CU-25-03","14","1,831","0.76"
"2025","01","T380I","-Leukocyte","1","CU-25-01","9","1,818","0.5"
"2025","01","T380I","-Leukocyte","2","CU-25-02","8","1,818","0.44"
"2025","01","T380I","-Leukocyte","3","CU-25-03","71","1,818","3.91"
"2025","01","T380J","-Specific Gravity","1","CU-25-01","184","1,816","10.130000000000001"
"2025","01","T380J","-Specific Gravity","2","CU-25-02","30","1,816","1.65"
"2025","01","T380J","-Specific Gravity","3","CU-25-03","31","1,816","1.71"
"2025","01","T390","Urine sediment","1","CUI-25-01","44","998","4.41"
"2025","01","T390","Urine sediment","2","CUI-25-02","32","998","3.21"
"2025","01","T390","Urine sediment","3","CUI-25-03","30","998","3.01"
"2025","01","T390","Urine sediment","4","CUI-25-04","0","998","0"
"2024","03","T380A","-pH","1","CU-24-09","144","1,886","7.64"
"2024","03","T380A","-pH","2","CU-24-10","65","1,886","3.45"
"2024","03","T380A","-pH","3","CU-24-11","11","1,886","0.57999999999999996"
"2024","03","T380A","-pH","4","CU-24-12","67","1,886","3.55"
"2024","03","T380B","-Protein","1","CU-24-09","9","1,902","0.47"
"2024","03","T380B","-Protein","2","CU-24-10","46","1,902","2.42"
"2024","03","T380B","-Protein","3","CU-24-11","16","1,902","0.84"
"2024","03","T380B","-Protein","4","CU-24-12","64","1,902","3.36"
"2024","03","T380C","-Glucose","1","CU-24-09","12","1,891","0.63"
"2024","03","T380C","-Glucose","2","CU-24-10","6","1,891","0.32"
"2024","03","T380C","-Glucose","3","CU-24-11","3","1,891","0.16"
"2024","03","T380C","-Glucose","4","CU-24-12","171","1,891","9.0399999999999991"
"2024","03","T380D","-Ketone","1","CU-24-09","3","1,837","0.16"
"2024","03","T380D","-Ketone","2","CU-24-10","3","1,837","0.16"
"2024","03","T380D","-Ketone","3","CU-24-11","17","1,837","0.93"
"2024","03","T380D","-Ketone","4","CU-24-12","3","1,837","0.16"
"2024","03","T380E","-Bilirubin","1","CU-24-09","3","1,836","0.16"
"2024","03","T380E","-Bilirubin","2","CU-24-10","7","1,836","0.38"
"2024","03","T380E","-Bilirubin","3","CU-24-11","0","1,836","0"
"2024","03","T380E","-Bilirubin","4","CU-24-12","3","1,836","0.16"
"2024","03","T380F","-Blood","1","CU-24-09","9","1,887","0.48"
"2024","03","T380F","-Blood","2","CU-24-10","22","1,887","1.17"
"2024","03","T380F","-Blood","3","CU-24-11","28","1,887","1.48"
"2024","03","T380F","-Blood","4","CU-24-12","10","1,887","0.53"
"2024","03","T380G","-Urobilinogen","1","CU-24-09","5","1,837","0.27"
"2024","03","T380G","-Urobilinogen","2","CU-24-10","3","1,837","0.16"
"2024","03","T380G","-Urobilinogen","3","CU-24-11","11","1,837","0.6"
"2024","03","T380G","-Urobilinogen","4","CU-24-12","0","1,837","0"
"2024","03","T380H","-Nitrite","1","CU-24-09","12","1,808","0.66"
"2024","03","T380H","-Nitrite","2","CU-24-10","3","1,808","0.17"
"2024","03","T380H","-Nitrite","3","CU-24-11","11","1,808","0.61"
"2024","03","T380H","-Nitrite","4","CU-24-12","6","1,808","0.33"
"2024","03","T380I","-Leukocyte","1","CU-24-09","48","1,794","2.68"
"2024","03","T380I","-Leukocyte","2","CU-24-10","11","1,794","0.61"
"2024","03","T380I","-Leukocyte","3","CU-24-11","8","1,794","0.45"
"2024","03","T380I","-Leukocyte","4","CU-24-12","12","1,794","0.67"
"2024","03","T380J","-Specific Gravity","1","CU-24-09","29","1,794","1.62"
"2024","03","T380J","-Specific Gravity","2","CU-24-10","33","1,794","1.84"
"2024","03","T380J","-Specific Gravity","3","CU-24-11","9","1,794","0.5"
"2024","03","T380J","-Specific Gravity","4","CU-24-12","23","1,794","1.28"
"2024","03","T390","Urine sediment","1","CUI-24-05","124","972","12.76"
"2024","03","T390","Urine sediment","2","CUI-24-06","241","972","24.79"
"2024","03","T390","Urine sediment","3","CUI-24-07","15","972","1.54"
"2024","03","T390","Urine sediment","4","CUI-24-08","16","972","1.65"
"2024","02","T380A","-pH","1","CU-24-05","132","1,877","7.03"
"2024","02","T380A","-pH","2","CU-24-06","65","1,877","3.46"
"2024","02","T380A","-pH","3","CU-24-07","27","1,877","1.44"
"2024","02","T380A","-pH","4","CU-24-08","29","1,877","1.55"
"2024","02","T380B","-Protein","1","CU-24-05","18","1,892","0.95"
"2024","02","T380B","-Protein","2","CU-24-06","34","1,892","1.8"
"2024","02","T380B","-Protein","3","CU-24-07","21","1,892","1.1100000000000001"
"2024","02","T380B","-Protein","4","CU-24-08","38","1,892","2.0099999999999998"
"2024","02","T380C","-Glucose","1","CU-24-05","12","1,881","0.64"
"2024","02","T380C","-Glucose","2","CU-24-06","4","1,881","0.21"
"2024","02","T380C","-Glucose","3","CU-24-07","7","1,881","0.37"
"2024","02","T380C","-Glucose","4","CU-24-08","109","1,881","5.79"
"2024","02","T380D","-Ketone","1","CU-24-05","2","1,827","0.11"
"2024","02","T380D","-Ketone","2","CU-24-06","5","1,827","0.27"
"2024","02","T380D","-Ketone","3","CU-24-07","13","1,827","0.71"
"2024","02","T380D","-Ketone","4","CU-24-08","6","1,827","0.33"
"2024","02","T380E","-Bilirubin","1","CU-24-05","4","1,826","0.22"
"2024","02","T380E","-Bilirubin","2","CU-24-06","4","1,826","0.22"
"2024","02","T380E","-Bilirubin","3","CU-24-07","19","1,826","1.04"
"2024","02","T380E","-Bilirubin","4","CU-24-08","15","1,826","0.82"
"2024","02","T380F","-Blood","1","CU-24-05","12","1,878","0.64"
"2024","02","T380F","-Blood","2","CU-24-06","62","1,878","3.3"
"2024","02","T380F","-Blood","3","CU-24-07","27","1,878","1.44"
"2024","02","T380F","-Blood","4","CU-24-08","13","1,878","0.69"
"2024","02","T380G","-Urobilinogen","1","CU-24-05","2","1,827","0.11"
"2024","02","T380G","-Urobilinogen","2","CU-24-06","1","1,827","0.05"
"2024","02","T380G","-Urobilinogen","3","CU-24-07","16","1,827","0.88"
"2024","02","T380G","-Urobilinogen","4","CU-24-08","97","1,827","5.31"
"2024","02","T380H","-Nitrite","1","CU-24-05","10","1,798","0.56000000000000005"
"2024","02","T380H","-Nitrite","2","CU-24-06","5","1,798","0.28000000000000003"
"2024","02","T380H","-Nitrite","3","CU-24-07","11","1,798","0.61"
"2024","02","T380H","-Nitrite","4","CU-24-08","11","1,798","0.61"
"2024","02","T380I","-Leukocyte","1","CU-24-05","24","1,783","1.35"
"2024","02","T380I","-Leukocyte","2","CU-24-06","11","1,783","0.62"
"2024","02","T380I","-Leukocyte","3","CU-24-07","18","1,783","1.01"
"2024","02","T380I","-Leukocyte","4","CU-24-08","21","1,783","1.18"
"2024","02","T380J","-Specific Gravity","1","CU-24-05","31","1,783","1.74"
"2024","02","T380J","-Specific Gravity","2","CU-24-06","16","1,783","0.9"
"2024","02","T380J","-Specific Gravity","3","CU-24-07","15","1,783","0.84"
"2024","02","T380J","-Specific Gravity","4","CU-24-08","58","1,783","3.25"
"2024","01","T380A","-pH","1","CU-24-01","112","1,853","6.04"
"2024","01","T380A","-pH","2","CU-24-02","59","1,853","3.18"
"2024","01","T380A","-pH","3","CU-24-03","21","1,853","1.1299999999999999"
"2024","01","T380A","-pH","4","CU-24-04","77","1,853","4.16"
"2024","01","T380B","-Protein","1","CU-24-01","12","1,867","0.64"
"2024","01","T380B","-Protein","2","CU-24-02","39","1,867","2.09"
"2024","01","T380B","-Protein","3","CU-24-03","17","1,867","0.91"
"2024","01","T380B","-Protein","4","CU-24-04","11","1,867","0.59"
"2024","01","T380C","-Glucose","1","CU-24-01","10","1,856","0.54"
"2024","01","T380C","-Glucose","2","CU-24-02","6","1,856","0.32"
"2024","01","T380C","-Glucose","3","CU-24-03","52","1,856","2.8"
"2024","01","T380C","-Glucose","4","CU-24-04","12","1,856","0.65"
"2024","01","T380D","-Ketone","1","CU-24-01","3","1,803","0.17"
"2024","01","T380D","-Ketone","2","CU-24-02","3","1,803","0.17"
"2024","01","T380D","-Ketone","3","CU-24-03","15","1,803","0.83"
"2024","01","T380D","-Ketone","4","CU-24-04","10","1,803","0.55000000000000004"
"2024","01","T380E","-Bilirubin","1","CU-24-01","2","1,802","0.11"
"2024","01","T380E","-Bilirubin","2","CU-24-02","7","1,802","0.39"
"2024","01","T380E","-Bilirubin","3","CU-24-03","10","1,802","0.55000000000000004"
"2024","01","T380E","-Bilirubin","4","CU-24-04","10","1,802","0.55000000000000004"
"2024","01","T380F","-Blood","1","CU-24-01","10","1,854","0.54"
"2024","01","T380F","-Blood","2","CU-24-02","26","1,854","1.4"
"2024","01","T380F","-Blood","3","CU-24-03","5","1,854","0.27"
"2024","01","T380F","-Blood","4","CU-24-04","35","1,854","1.89"
"2024","01","T380G","-Urobilinogen","1","CU-24-01","2","1,803","0.11"
"2024","01","T380G","-Urobilinogen","2","CU-24-02","2","1,803","0.11"
"2024","01","T380G","-Urobilinogen","3","CU-24-03","95","1,803","5.27"
"2024","01","T380G","-Urobilinogen","4","CU-24-04","9","1,803","0.5"
"2024","01","T380H","-Nitrite","1","CU-24-01","10","1,776","0.56000000000000005"
"2024","01","T380H","-Nitrite","2","CU-24-02","6","1,776","0.34"
"2024","01","T380H","-Nitrite","3","CU-24-03","16","1,776","0.9"
"2024","01","T380H","-Nitrite","4","CU-24-04","10","1,776","0.56000000000000005"
"2024","01","T380I","-Leukocyte","1","CU-24-01","21","1,761","1.19"
"2024","01","T380I","-Leukocyte","2","CU-24-02","10","1,761","0.56999999999999995"
"2024","01","T380I","-Leukocyte","3","CU-24-03","112","1,761","6.36"
"2024","01","T380I","-Leukocyte","4","CU-24-04","47","1,761","2.67"
"2024","01","T380J","-Specific Gravity","1","CU-24-01","26","1,762","1.48"
"2024","01","T380J","-Specific Gravity","2","CU-24-02","45","1,762","2.5499999999999998"
"2024","01","T380J","-Specific Gravity","3","CU-24-03","8","1,762","0.45"
"2024","01","T380J","-Specific Gravity","4","CU-24-04","21","1,762","1.19"
"2024","01","T390","Urine sediment","1","CUI-24-01","36","997","3.61"
"2024","01","T390","Urine sediment","2","CUI-24-02","66","997","6.62"
"2024","01","T390","Urine sediment","3","CUI-24-03","70","997","7.02"
"2024","01","T390","Urine sediment","4","CUI-24-04","28","997","2.81"
"2023","03","T380A","-pH","1","CU-23-09","68","1,825","3.73"
"2023","03","T380A","-pH","2","CU-23-10","25","1,825","1.37"
"2023","03","T380A","-pH","3","CU-23-11","90","1,825","4.93"
"2023","03","T380A","-pH","4","CU-23-12","20","1,825","1.1000000000000001"
"2023","03","T380B","-Protein","1","CU-23-09","3","1,840","0.16"
"2023","03","T380B","-Protein","2","CU-23-10","8","1,840","0.43"
"2023","03","T380B","-Protein","3","CU-23-11","4","1,840","0.22"
"2023","03","T380B","-Protein","4","CU-23-12","9","1,840","0.49"
"2023","03","T380C","-Glucose","1","CU-23-09","3","1,829","0.16"
"2023","03","T380C","-Glucose","2","CU-23-10","53","1,829","2.9"
"2023","03","T380C","-Glucose","3","CU-23-11","6","1,829","0.33"
"2023","03","T380C","-Glucose","4","CU-23-12","56","1,829","3.06"
"2023","03","T380D","-Ketone","1","CU-23-09","0","1,773","0"
"2023","03","T380D","-Ketone","2","CU-23-10","10","1,773","0.56000000000000005"
"2023","03","T380D","-Ketone","3","CU-23-11","4","1,773","0.23"
"2023","03","T380D","-Ketone","4","CU-23-12","8","1,773","0.45"
"2023","03","T380E","-Bilirubin","1","CU-23-09","3","1,772","0.17"
"2023","03","T380E","-Bilirubin","2","CU-23-10","2","1,772","0.11"
"2023","03","T380E","-Bilirubin","3","CU-23-11","5","1,772","0.28000000000000003"
"2023","03","T380E","-Bilirubin","4","CU-23-12","2","1,772","0.11"
"2023","03","T380F","-Blood","1","CU-23-09","11","1,827","0.6"
"2023","03","T380F","-Blood","2","CU-23-10","4","1,827","0.22"
"2023","03","T380F","-Blood","3","CU-23-11","17","1,827","0.93"
"2023","03","T380F","-Blood","4","CU-23-12","4","1,827","0.22"
"2023","03","T380G","-Urobilinogen","1","CU-23-09","2","1,774","0.11"
"2023","03","T380G","-Urobilinogen","2","CU-23-10","101","1,774","5.69"
"2023","03","T380G","-Urobilinogen","3","CU-23-11","6","1,774","0.34"
"2023","03","T380G","-Urobilinogen","4","CU-23-12","97","1,774","5.47"
"2023","03","T380H","-Nitrite","1","CU-23-09","3","1,748","0.17"
"2023","03","T380H","-Nitrite","2","CU-23-10","5","1,748","0.28999999999999998"
"2023","03","T380H","-Nitrite","3","CU-23-11","2","1,748","0.11"
"2023","03","T380H","-Nitrite","4","CU-23-12","11","1,748","0.63"
"2023","03","T380I","-Leukocyte","1","CU-23-09","14","1,731","0.81"
"2023","03","T380I","-Leukocyte","2","CU-23-10","142","1,731","8.1999999999999993"
"2023","03","T380I","-Leukocyte","3","CU-23-11","22","1,731","1.27"
"2023","03","T380I","-Leukocyte","4","CU-23-12","137","1,731","7.91"
"2023","03","T380J","-Specific Gravity","1","CU-23-09","49","1,732","2.83"
"2023","03","T380J","-Specific Gravity","2","CU-23-10","21","1,732","1.21"
"2023","03","T380J","-Specific Gravity","3","CU-23-11","54","1,732","3.12"
"2023","03","T380J","-Specific Gravity","4","CU-23-12","15","1,732","0.87"
"2023","03","T390","Urine sediment","1","CUI-23-05","90","947","9.5"
"2023","03","T390","Urine sediment","2","CUI-23-06","29","947","3.06"
"2023","03","T390","Urine sediment","3","CUI-23-07","192","947","20.27"
"2023","03","T390","Urine sediment","4","CUI-23-08","54","947","5.7"
